Country;Year;id;cluster
CAN;2004;79.0;cluster_2
CAN;2005;80.0;cluster_2
CAN;2008;81.0;cluster_2
CAN;2009;82.0;cluster_1
CAN;2011;83.0;cluster_1
CAN;2010;84.0;cluster_1
ISL;2002;85.0;cluster_1
ISL;2003;86.0;cluster_4
ISL;2000;87.0;cluster_1
ISL;2001;88.0;cluster_1
ISL;2006;89.0;cluster_4
ISL;2007;90.0;cluster_4
ISL;2004;91.0;cluster_4
ISL;2005;92.0;cluster_4
ISL;2008;93.0;cluster_4
ISL;2009;94.0;cluster_4
ISL;2011;95.0;cluster_4
ISL;2010;96.0;cluster_4
KOR;2002;97.0;cluster_2
KOR;2003;98.0;cluster_2
KOR;2000;99.0;cluster_2
KOR;2001;100.0;cluster_2
KOR;2006;101.0;cluster_2
KOR;2007;102.0;cluster_2
KOR;2004;103.0;cluster_2
KOR;2005;104.0;cluster_2
KOR;2008;105.0;cluster_2
KOR;2009;106.0;cluster_2
KOR;2011;107.0;cluster_2
KOR;2010;108.0;cluster_2
CHE;2002;109.0;cluster_2
CHE;2003;110.0;cluster_1
CHE;2000;111.0;cluster_2
CHE;2001;112.0;cluster_2
CHE;2006;113.0;cluster_1
CHE;2007;114.0;cluster_4
CHE;2004;115.0;cluster_1
CHE;2005;116.0;cluster_4
CHE;2008;117.0;cluster_4
CHE;2009;118.0;cluster_4
CHE;2011;119.0;cluster_4
CHE;2010;120.0;cluster_4
BEL;2002;121.0;cluster_2
BEL;2003;122.0;cluster_2
BEL;2000;123.0;cluster_2
BEL;2001;124.0;cluster_2
BEL;2006;125.0;cluster_1
BEL;2007;126.0;cluster_1
BEL;2004;127.0;cluster_2
BEL;2005;128.0;cluster_2
BEL;2008;129.0;cluster_1
BEL;2009;130.0;cluster_1
BEL;2011;131.0;cluster_1
BEL;2010;132.0;cluster_1
HUN;2002;133.0;cluster_2
HUN;2003;134.0;cluster_2
HUN;2000;135.0;cluster_2
HUN;2001;136.0;cluster_2
HUN;2006;137.0;cluster_1
HUN;2007;138.0;cluster_2
HUN;2004;139.0;cluster_2
HUN;2005;140.0;cluster_2
HUN;2008;141.0;cluster_4
HUN;2009;142.0;cluster_4
HUN;2011;143.0;cluster_2
HUN;2010;144.0;cluster_4
PRT;2002;145.0;cluster_0
PRT;2003;146.0;cluster_0
PRT;2000;147.0;cluster_0
PRT;2001;148.0;cluster_0
PRT;2006;149.0;cluster_0
PRT;2007;150.0;cluster_0
PRT;2004;151.0;cluster_0
PRT;2005;152.0;cluster_0
PRT;2008;153.0;cluster_0
PRT;2009;154.0;cluster_3
PRT;2011;155.0;cluster_3
PRT;2010;156.0;cluster_3
POL;2002;157.0;cluster_2
POL;2003;158.0;cluster_2
POL;2000;159.0;cluster_3
POL;2001;160.0;cluster_2
POL;2006;161.0;cluster_2
POL;2007;162.0;cluster_2
POL;2004;163.0;cluster_2
POL;2005;164.0;cluster_2
POL;2008;165.0;cluster_2
POL;2009;166.0;cluster_2
POL;2011;167.0;cluster_2
POL;2010;168.0;cluster_2
NLD;2002;169.0;cluster_1
NLD;2003;170.0;cluster_1
NLD;2000;171.0;cluster_1
NLD;2001;172.0;cluster_1
NLD;2006;173.0;cluster_1
NLD;2007;174.0;cluster_1
NLD;2004;175.0;cluster_1
NLD;2005;176.0;cluster_1
NLD;2008;177.0;cluster_1
NLD;2009;178.0;cluster_4
NLD;2011;179.0;cluster_4
NLD;2010;180.0;cluster_4
SVN;2002;181.0;cluster_1
SVN;2003;182.0;cluster_2
SVN;2000;183.0;cluster_4
SVN;2001;184.0;cluster_4
SVN;2006;185.0;cluster_4
SVN;2007;186.0;cluster_4
SVN;2004;187.0;cluster_4
SVN;2005;188.0;cluster_1
SVN;2008;189.0;cluster_4
SVN;2009;190.0;cluster_4
SVN;2011;191.0;cluster_4
SVN;2010;192.0;cluster_4
FRA;2002;193.0;cluster_2
FRA;2003;194.0;cluster_2
FRA;2000;195.0;cluster_3
FRA;2001;196.0;cluster_2
FRA;2006;197.0;cluster_2
FRA;2007;198.0;cluster_2
FRA;2004;199.0;cluster_2
FRA;2005;200.0;cluster_2
FRA;2008;201.0;cluster_2
FRA;2009;202.0;cluster_2
FRA;2011;203.0;cluster_2
FRA;2010;204.0;cluster_2
EST;2002;205.0;cluster_3
EST;2003;206.0;cluster_0
EST;2000;207.0;cluster_0
EST;2001;208.0;cluster_0
EST;2006;209.0;cluster_0
EST;2007;210.0;cluster_3
EST;2004;211.0;cluster_0
EST;2005;212.0;cluster_3
EST;2008;213.0;cluster_3
EST;2009;214.0;cluster_0
EST;2011;215.0;cluster_0
EST;2010;216.0;cluster_3
SVK;2002;217.0;cluster_4
SVK;2003;218.0;cluster_2
SVK;2000;219.0;cluster_2
SVK;2001;220.0;cluster_4
SVK;2006;221.0;cluster_1
SVK;2007;222.0;cluster_4
SVK;2004;223.0;cluster_4
SVK;2005;224.0;cluster_1
SVK;2008;225.0;cluster_1
SVK;2009;226.0;cluster_4
SVK;2011;227.0;cluster_1
SVK;2010;228.0;cluster_1
AUT;2002;229.0;cluster_2
AUT;2003;230.0;cluster_2
AUT;2000;231.0;cluster_1
AUT;2001;232.0;cluster_4
AUT;2006;233.0;cluster_1
AUT;2007;234.0;cluster_1
AUT;2004;235.0;cluster_2
AUT;2005;236.0;cluster_2
AUT;2008;237.0;cluster_1
AUT;2009;238.0;cluster_2
AUT;2011;239.0;cluster_4
AUT;2010;240.0;cluster_1
ESP;2002;241.0;cluster_3
ESP;2003;242.0;cluster_3
ESP;2000;243.0;cluster_3
ESP;2001;244.0;cluster_3
ESP;2006;245.0;cluster_3
ESP;2007;246.0;cluster_3
ESP;2004;247.0;cluster_3
ESP;2005;248.0;cluster_3
ESP;2008;249.0;cluster_3
ESP;2009;250.0;cluster_2
ESP;2011;251.0;cluster_2
ESP;2010;252.0;cluster_2
CHL;2002;253.0;cluster_3
CHL;2003;254.0;cluster_3
CHL;2000;255.0;cluster_3
CHL;2001;256.0;cluster_0
CHL;2006;257.0;cluster_3
CHL;2007;258.0;cluster_3
CHL;2004;259.0;cluster_3
CHL;2005;260.0;cluster_3
CHL;2008;261.0;cluster_3
CHL;2009;262.0;cluster_3
CHL;2011;263.0;cluster_3
CHL;2010;264.0;cluster_3
